id,date_time,mc_code,buiding,auto_run,power_on,power_off,meeting,break_field,plan_stop,kpr_percent,yield_field,target_oee,one_day_time_on,available_time,percent_available,percent_performance,percent_oee,factory_utilize,percent_teep,process_group,is_check
37903160,2025-12-09 00:00:00,AHP-404,A/2,0,1317,123,0,0,0,100.0,100.0,85.0,1440,1317,0.0,100.0,0.0,100.0,0.0,BE,False
37902962,2025-12-09 00:00:00,AHP-405,A/2,1218,120,102,0,0,0,100.0,100.0,85.0,1440,1338,84.583336,100.0,84.583336,100.0,84.583336,BE,False
37902948,2025-12-09 00:00:00,AVI-306,A/2,1168,168,104,0,0,0,100.0,100.0,85.0,1440,1336,81.111115,100.0,81.111115,100.0,81.111115,BE,False
37902949,2025-12-09 00:00:00,AVI-308,A,0,1440,0,0,0,0,100.0,100.0,85.0,1440,1440,0.0,100.0,0.0,100.0,0.0,BE,False
37902999,2025-12-09 00:00:00,INT-129,,952,194,294,0,0,0,100.0,100.0,85.0,1440,1146,66.111115,100.0,66.111115,100.0,66.111115,FI,False
37908965,2025-12-09 00:00:00,INT-130,,529,587,324,0,0,0,100.0,100.0,85.0,1440,1116,36.73611,100.0,36.73611,100.0,36.73611,FI,False
37910080,2025-12-09 00:00:00,R1-27-06,B/1,379,30,1031,0,0,0,100.0,100.0,85.0,1440,409,26.319445,100.0,26.319445,100.0,26.319445,ZBLK,False
37908931,2025-12-09 00:00:00,R1-27-08,B/1,466,10,964,0,0,0,100.0,100.0,85.0,1440,476,32.36111,100.0,32.36111,100.0,32.36111,ZBLK,False
37902828,2025-12-09 00:00:00,R1-44-101,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,BE,False
37902829,2025-12-09 00:00:00,R2-44-26,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,BE,False
37902849,2025-12-09 00:00:00,R4-27-01,C,1251,35,154,0,0,0,100.0,100.0,85.0,1440,1286,86.875,100.0,86.875,100.0,86.875,ZBLK,False
37902851,2025-12-09 00:00:00,R4-27-11,B/1,636,13,791,0,0,0,100.0,100.0,85.0,1440,649,44.166668,100.0,44.166668,100.0,44.166668,ZBLK,False
37902852,2025-12-09 00:00:00,R4-27-13,B/2,1115,242,83,0,0,0,100.0,100.0,85.0,1440,1357,77.43056,100.0,77.43056,100.0,77.43056,ZBLK,False
37902908,2025-12-09 00:00:00,T1-36-02,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZBAK,False
37902883,2025-12-09 00:00:00.004000,T1-36-02,A/2,1011,424,5,0,0,0,100.0,100.0,85.0,1440,1435,70.208336,100.0,70.208336,100.0,70.208336,ZBAK,True
37902909,2025-12-09 00:00:00,T1-36-03,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZBAK,False
37902884,2025-12-09 00:00:00.004000,T1-36-03,A/2,995,440,5,0,0,0,100.0,100.0,85.0,1440,1435,69.09722,100.0,69.09722,100.0,69.09722,ZBAK,True
37902910,2025-12-09 00:00:00,T1-36-04,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZBAK,False
37902912,2025-12-09 00:00:00,T1-36-05,C,193,23,1224,0,0,0,100.0,100.0,85.0,1440,216,13.402778,100.0,13.402778,100.0,13.402778,ZBAK,False
37902913,2025-12-09 00:00:00,T1-36-07,C,374,875,191,0,0,0,100.0,100.0,85.0,1440,1249,25.972221,100.0,25.972221,100.0,25.972221,ZBAK,False
37902914,2025-12-09 00:00:00,T1-36-08,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZBAK,False
37902915,2025-12-09 00:00:00,T1-36-09,B,536,348,556,0,0,0,100.0,100.0,85.0,1440,884,37.22222,100.0,37.22222,100.0,37.22222,ZBAK,False
37902885,2025-12-09 00:00:00.004000,T1-36-10,A/2,1018,417,5,0,0,0,100.0,100.0,85.0,1440,1435,70.69444,100.0,70.69444,100.0,70.69444,ZBAK,True
37902916,2025-12-09 00:00:00,T1-36-10,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZBAK,False
37902889,2025-12-09 00:00:00.005000,T1-36-11,B,923,514,3,0,0,0,100.0,100.0,85.0,1440,1437,64.09722,100.0,64.09722,100.0,64.09722,ZBAK,True
37902917,2025-12-09 00:00:00,T1-36-11,B,801,430,209,0,0,0,100.0,100.0,85.0,1440,1231,55.625,100.0,55.625,100.0,55.625,ZBAK,False
37902890,2025-12-09 00:00:00.005000,T1-36-12,B,696,741,3,0,0,0,100.0,100.0,85.0,1440,1437,48.333332,100.0,48.333332,100.0,48.333332,ZBAK,True
37902918,2025-12-09 00:00:00,T1-36-12,B,616,622,202,0,0,0,100.0,100.0,85.0,1440,1238,42.77778,100.0,42.77778,100.0,42.77778,ZBAK,False
37902919,2025-12-09 00:00:00,T1-36-13,B,1535,966,-1061,0,0,0,100.0,100.0,85.0,1440,2501,106.59722,100.0,106.59722,100.0,106.59722,ZBAK,False
37902834,2025-12-09 00:00:00,T1-36-203,,1437,0,3,0,0,0,100.0,100.0,85.0,1440,1437,99.791664,100.0,99.791664,100.0,99.791664,BE,False
37902835,2025-12-09 00:00:00,T1-36-205,,0,1437,3,0,0,0,100.0,100.0,85.0,1440,1437,0.0,100.0,0.0,100.0,0.0,BE,False
37902836,2025-12-09 00:00:00,T1-36-206,B,441,996,3,0,0,0,100.0,100.0,85.0,1440,1437,30.625,100.0,30.625,100.0,30.625,BE,False
37902837,2025-12-09 00:00:00,T1-36-207,B,724,713,3,0,0,0,100.0,100.0,85.0,1440,1437,50.27778,100.0,50.27778,100.0,50.27778,BE,False
37902838,2025-12-09 00:00:00,T1-36-208,,457,980,3,0,0,0,100.0,100.0,85.0,1440,1437,31.73611,100.0,31.73611,100.0,31.73611,BE,False
37902839,2025-12-09 00:00:00,T1-36-209,,769,668,3,0,0,0,100.0,100.0,85.0,1440,1437,53.40278,100.0,53.40278,100.0,53.40278,BE,False
37902840,2025-12-09 00:00:00,T1-56-103,,82,1355,3,0,0,0,100.0,100.0,85.0,1440,1437,5.6944447,100.0,5.6944447,100.0,5.6944447,BE,False
37902920,2025-12-09 00:00:00,T2-36-03,C,459,0,981,0,0,0,100.0,100.0,85.0,1440,459,31.875,100.0,31.875,100.0,31.875,ZBAK,False
37902850,2025-12-09 00:00:00,T2-40-116,C,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,FI,False
37902855,2025-12-09 00:00:00,T2-40-125,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,FI,False
37902857,2025-12-09 00:00:00,T2-40-138,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,FI,False
37902813,2025-12-09 00:00:00.003000,T2-56-12,B,502,935,3,0,0,0,100.0,100.0,85.0,1440,1437,34.86111,100.0,34.86111,100.0,34.86111,FI,True
37902814,2025-12-09 00:00:00.003000,T2-56-16,B,683,753,4,0,0,0,100.0,100.0,85.0,1440,1436,47.430557,100.0,47.430557,100.0,47.430557,FI,True
37902815,2025-12-09 00:00:00.003000,T2-56-17,B,972,464,4,0,0,0,100.0,100.0,85.0,1440,1436,67.5,100.0,67.5,100.0,67.5,FI,True
37902841,2025-12-09 00:00:00,T2-56-33,,313,1124,3,0,0,0,100.0,100.0,85.0,1440,1437,21.73611,100.0,21.73611,100.0,21.73611,BE,False
37902842,2025-12-09 00:00:00,T2-56-34,,715,722,3,0,0,0,100.0,100.0,85.0,1440,1437,49.65278,100.0,49.65278,100.0,49.65278,BE,False
37902843,2025-12-09 00:00:00,T2-56-35,,934,503,3,0,0,0,100.0,100.0,85.0,1440,1437,64.861115,100.0,64.861115,100.0,64.861115,BE,False
37902844,2025-12-09 00:00:00,T2-56-36,,909,528,3,0,0,0,100.0,100.0,85.0,1440,1437,63.125,100.0,63.125,100.0,63.125,BE,False
